Timestamp,¿A qué campus perteneces?,¿A qué sección perteneces?,¿Cuál es tu edad? Ingresa sólo el número.,¿Cuál es tu estatura en centímetros? Ingresa sólo el número.,¿Qué estilo alimenticio tienes?,¿A qué distancia de la Universidad (en kilómetros) vives actualmente? Ingresa sólo el número. Puedes usar https://maps.google.com para estimar la distancia.,¿Cuál es el sistema operativo de tu teléfono celular?,¿Cuántas veces te bañas a la semana?,¿Has sido contagiado de COVID-19?,¿Cuál es tu postura frente al deporte obligatorio en la UAI?,¿Con qué religión te identificas?,¿Qué tan de acuerdo estás con los siguiente temas? [Aborto libre],¿Qué tan de acuerdo estás con los siguiente temas? [Eutanasia legal],¿Qué tan de acuerdo estás con los siguiente temas? [Matrimonio igualitario],¿Qué tan de acuerdo estás con los siguiente temas? [Legalización del cannabis],¿Qué tan de acuerdo estás con los siguiente temas? [Educación gratuita],¿Qué tan de acuerdo estás con los siguiente temas? [Nueva Constitución para Chile]
3/19/2023 15:23:11,Santiago,3,18,185,Omnívoro,12,Android,6,Sí,5,Agnóstico,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 15:27:40,Santiago,3,18,"1,69",Omnívoro,38,iOS (Apple),8 o más,Sí,4,Prefiero no responder,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 15:35:46,Santiago,3,18,167,Omnívoro,35,iOS (Apple),8 o más,Sí,5,Agnóstico,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/19/2023 15:40:40,Santiago,3,18,"1,55",Omnívoro,9.8 km,iOS (Apple),8 o más,Sí,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 15:58:40,Santiago,3,18,"1,69",Omnívoro,"3,5",iOS (Apple),8 o más,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/19/2023 16:05:43,Santiago,3,18,162,Omnívoro,,iOS (Apple),8 o más,No,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 16:09:48,Santiago,3,18,"1,83",Omnívoro,50,iOS (Apple),8 o más,Sí,4,Ateo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 16:30:27,Santiago,3,18,167,Omnívoro,9,iOS (Apple),6,No,3,Prefiero no responder,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 16:49:23,Santiago,3,18,179,Omnívoro,21,iOS (Apple),5,Sí,4,Prefiero no responder,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 16:56:56,Santiago,3,18,184,Omnívoro,11,Android,7,No,4,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 17:00:26,Santiago,3,18,"1,75",Omnívoro,17 km,iOS (Apple),7,Sí,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 17:25:18,Santiago,3,18,190,Omnívoro,20,iOS (Apple),8 o más,Sí,2,Otra Religión,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 17:38:12,Santiago,3,18,185,Omnívoro,50km,iOS (Apple),7,No,5,Católica,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/19/2023 17:43:26,Santiago,3,18,155,Omnívoro,11k,iOS (Apple),8 o más,Sí,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 18:25:05,Santiago,3,18,1.72,Omnívoro,14 km,iOS (Apple),7,Sí,3,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 18:25:28,Santiago,3,18,183,Omnívoro,12,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/19/2023 18:30:00,Santiago,3,18,180,Omnívoro,10,iOS (Apple),8 o más,Sí,2,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo
3/19/2023 18:55:50,Santiago,3,18,177,Omnívoro,12,iOS (Apple),8 o más,No,5,Ateo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 19:01:13,Santiago,3,18,167,Omnívoro,15,iOS (Apple),7,Sí,4,Católica,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 19:01:40,Santiago,3,18,190,Omnívoro,60,Android,7,Sí,5,Católica,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/19/2023 19:48:26,Santiago,3,18,165,Omnívoro,13 km,iOS (Apple),7,Sí,5,Prefiero no responder,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/19/2023 20:06:47,Santiago,3,18,172,Omnívoro,6,Android,8 o más,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/19/2023 20:08:48,Santiago,3,18,178,Omnívoro,"6,0 ",iOS (Apple),8 o más,No,4,Islam,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 20:18:32,Santiago,4,18,"1,67",Omnívoro,37,iOS (Apple),6,Sí,5,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 20:19:43,Santiago,4,18,165,Omnívoro,32,iOS (Apple),8 o más,Sí,4,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 20:26:04,Santiago,4,18,"1,73",Omnívoro,"9,1",iOS (Apple),8 o más,No,5,Católica,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 20:45:42,Santiago,4,18,170,Omnívoro,"5,6",iOS (Apple),8 o más,Sí,4,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 20:50:55,Santiago,4,18,"1,65",Omnívoro,"5,4",iOS (Apple),8 o más,Sí,4,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 20:54:55,Santiago,4,18,173,Omnívoro,12,iOS (Apple),8 o más,No,4,Agnóstico,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 21:26:57,Santiago,4,18,1.76,Omnívoro,5Km,iOS (Apple),8 o más,Sí,4,Católica,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 22:12:36,Santiago,4,18,161,Omnívoro,34,iOS (Apple),4,Sí,5,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 22:16:11,Santiago,4,18,1.8,Omnívoro,11,iOS (Apple),8 o más,Sí,5,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/19/2023 23:12:48,Santiago,4,18,"1,89",Omnívoro,17,iOS (Apple),8 o más,No,4,Católica,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo
3/19/2023 23:25:45,Santiago,4,18,179 cm,Omnívoro,13 km,iOS (Apple),8 o más,Sí,5,Prefiero no responder,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/20/2023 0:46:56,Santiago,4,18,184,Omnívoro,12,Android,7,No,4,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 2:49:04,Santiago,4,18,178,Omnívoro,12,Android,8 o más,No,2,Evangélica,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 10:12:10,Santiago,4,18,"1,75",Omnívoro,"4,7",iOS (Apple),8 o más,Sí,4,Evangélica,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 10:41:50,Santiago,4,18,178,Omnívoro,32,iOS (Apple),7,No,3,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/20/2023 12:14:59,Santiago,4,18,"1,67",Omnívoro,37,iOS (Apple),7,Sí,5,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 12:21:37,Santiago,4,18,159,Omnívoro,27,iOS (Apple),8 o más,No,4,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 12:23:53,Santiago,4,18,173,Omnívoro,12,iOS (Apple),8 o más,No,4,Agnóstico,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 12:29:01,Santiago,4,18,180,Omnívoro,11,iOS (Apple),8 o más,Sí,5,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 12:34:05,Santiago,4,18,167,Omnívoro,15,iOS (Apple),7,No,4,Católica,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 12:39:12,Santiago,4,18,187,Omnívoro,11,Android,8 o más,No,5,Agnóstico,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo
3/20/2023 12:40:35,Santiago,5,18,"1,69",Omnívoro,11km,iOS (Apple),5,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 12:40:58,Santiago,5,18,"1,86",Omnívoro,16,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 12:43:23,Santiago,5,18,165,Omnívoro,24,iOS (Apple),7,Sí,3,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/20/2023 12:51:58,Santiago,5,18,176,Omnívoro,28,iOS (Apple),7,No,3,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 14:29:21,Santiago,5,18,169,Omnívoro,15,iOS (Apple),7,Sí,3,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo
3/20/2023 16:12:33,Santiago,5,18,"1,89",Omnívoro,"9,2",iOS (Apple),8 o más,Sí,3,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/20/2023 16:32:53,Santiago,5,18,172,Omnívoro,5,Android,8 o más,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/20/2023 17:09:40,Santiago,5,18,174,Omnívoro,2.1kms,iOS (Apple),8 o más,No,2,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 21:44:00,Santiago,5,18,180,Omnívoro,15,iOS (Apple),8 o más,Sí,4,Otra Religión,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 21:44:10,Santiago,5,18,167,Omnívoro,13,iOS (Apple),5,No,4,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 21:44:42,Santiago,5,18,170,Omnívoro,11,Android,7,Sí,1,Agnóstico,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 21:45:04,Santiago,5,18,169,Omnívoro,10,Android,7,No,4,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/20/2023 21:45:41,Santiago,5,18,181,Omnívoro,20km,iOS (Apple),8 o más,Sí,1,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 21:45:45,Santiago,5,18,160,Omnívoro,11,iOS (Apple),7,Sí,3,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 21:46:02,Santiago,5,18,165,Omnívoro,3,Android,4,No,5,Ateo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 21:47:42,Santiago,5,18,178,Omnívoro,40,iOS (Apple),8 o más,No,4,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 21:50:47,Santiago,5,18,173,Omnívoro,8.3,iOS (Apple),5,No,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 21:55:52,Santiago,5,18,177,Omnívoro,17,iOS (Apple),8 o más,No,5,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/20/2023 22:16:06,Santiago,5,18,179,Omnívoro,12,Android,8 o más,No,5,Agnóstico,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 22:19:26,Santiago,5,18,178,Omnívoro,10,iOS (Apple),7,Sí,3,Ateo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/20/2023 22:50:18,Santiago,5,18,175,Omnívoro,11 km,iOS (Apple),7,No,5,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/20/2023 22:52:45,Santiago,5,18,169,Omnívoro,12,iOS (Apple),7,Sí,1,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 23:01:15,Santiago,5,18,186,Omnívoro,13,iOS (Apple),6,No,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/20/2023 23:22:35,Santiago,5,18,180,Omnívoro,35km,iOS (Apple),8 o más,Sí,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/20/2023 23:22:37,Santiago,5,18,170,Omnívoro,28,iOS (Apple),8 o más,Sí,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/20/2023 23:22:57,Santiago,7,18,180,Omnívoro,8,iOS (Apple),7,No,5,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo
3/20/2023 23:36:12,Santiago,7,18,"1,86",Omnívoro,18,iOS (Apple),8 o más,Sí,1,Prefiero no responder,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 8:15:25,Santiago,7,18,"1,78",Omnívoro,19,HarmonyOS (Huawei),8 o más,Sí,4,Católica,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 8:26:05,Santiago,10,18,181,Omnívoro,5km,Android,7,Sí,1,Católica,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 8:28:53,Santiago,10,18,165,Omnívoro,40,iOS (Apple),7,No,2,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 9:01:03,Santiago,10,18,"1,65",Omnívoro,12,iOS (Apple),8 o más,No,3,Católica,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 9:40:13,Santiago,10,18,1.74,Omnívoro,11,Android,7,No,4,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 9:53:11,Santiago,10,18,181,Omnívoro,14,iOS (Apple),7,No,4,Ateo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 9:59:43,Santiago,10,18,"1,71",Omnívoro,10,iOS (Apple),5,No,3,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/21/2023 10:08:50,Santiago,10,18,188,Omnívoro,5.5,iOS (Apple),8 o más,Sí,3,Católica,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 10:27:54,Santiago,10,18,"1,72",Omnívoro,"6,5",iOS (Apple),7,Sí,4,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
3/21/2023 10:38:02,Santiago,10,18,"1,72",Omnívoro,40,iOS (Apple),6,Sí,4,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/21/2023 10:38:14,Santiago,10,18,"1,67",Omnívoro,16km,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/21/2023 10:38:27,Santiago,10,18,176,Omnívoro,10,Android,6,Sí,5,Agnóstico,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 10:38:59,Santiago,10,18,"1,71",Omnívoro,16,iOS (Apple),8 o más,No,1,Católica,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo
3/21/2023 10:39:23,Santiago,10,18,169,Omnívoro,10,Android,8 o más,Sí,5,Iglesia de Jesucristo de los Santos de los Últimos Días,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/21/2023 10:40:07,Santiago,10,18,160,Omnívoro,"9,4",iOS (Apple),7,Sí,2,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 10:40:27,Santiago,10,18,"1,65",Omnívoro,,iOS (Apple),8 o más,Sí,2,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo
3/21/2023 10:41:24,Santiago,10,18,180,Omnívoro,8,iOS (Apple),8 o más,Sí,5,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/21/2023 10:41:53,Santiago,10,18,175,Omnívoro,11,Android,7,Sí,4,Católica,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 10:57:52,Santiago,10,18,190,Omnívoro,15,Otro,8 o más,No,2,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/21/2023 10:59:05,Santiago,10,18,171,Omnívoro,"8,8",iOS (Apple),7,No,1,Agnóstico,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 10:59:10,Santiago,10,18,179,Omnívoro,5,iOS (Apple),8 o más,Sí,4,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/21/2023 10:59:16,Santiago,10,18,"1,87",Omnívoro,43 km,iOS (Apple),8 o más,No,5,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/21/2023 10:59:28,Santiago,10,18,178,Omnívoro,menos de 1,iOS (Apple),8 o más,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/21/2023 11:00:38,Santiago,10,18,182,Omnívoro,"5,5",Android,8 o más,No,3,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/21/2023 11:02:30,Santiago,10,18,180,Omnívoro,18,iOS (Apple),Prefiero no responder,Sí,4,Ateo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/21/2023 11:04:37,Santiago,10,18,"1,57",Omnívoro,18 km,iOS (Apple),7,Sí,3,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 11:08:03,Santiago,10,18,173,Omnívoro,2,iOS (Apple),7,Sí,5,Ateo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/21/2023 11:09:33,Santiago,10,18,,Omnívoro,"4,2",iOS (Apple),6,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/21/2023 11:42:15,Santiago,10,18,1.54,Omnívoro,10.5,Android,8 o más,No,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/21/2023 12:13:49,Santiago,10,18,176,Omnívoro,15,iOS (Apple),7,Sí,3,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo
3/21/2023 12:23:07,Santiago,10,18,180,Omnívoro,24km,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/21/2023 12:45:36,Santiago,10,18,171,Omnívoro,15,Android,8 o más,Sí,3,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 14:01:10,Santiago,11,18,164,Omnívoro,40,iOS (Apple),8 o más,Sí,4,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo
3/21/2023 14:02:56,Santiago,11,18,190,Omnívoro,15,iOS (Apple),8 o más,Sí,3,Ateo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/21/2023 14:09:25,Santiago,11,18,1.85,Omnívoro,10 Km,Android,8 o más,Sí,5,Católica,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/21/2023 14:09:30,Santiago,11,18,178,Omnívoro,9.1,iOS (Apple),8 o más,Sí,4,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/21/2023 14:10:07,Santiago,12,18,1.81,Omnívoro,36,iOS (Apple),8 o más,No,5,Ateo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/21/2023 14:10:34,Santiago,13,18,158,Omnívoro,7,iOS (Apple),Prefiero no responder,No,4,Ateo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 14:15:27,Santiago,13,18,1.75,Omnívoro,5km ,iOS (Apple),8 o más,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 14:15:36,Santiago,13,18,173,Omnívoro,13,iOS (Apple),7,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
